Country,First Opening,country_code,outlets_per_mil,num_outlets,lat,long
USA,5/15/1940,USA,40.807,13375,37.63,-122.1
USA,5/15/1940,USA,40.807,13375,33.73,-117
USA,5/15/1940,USA,40.807,13375,40.7,-73.62
USA,5/15/1940,USA,40.807,13375,36.03,-115
USA,5/15/1940,USA,40.807,13375,36.29,-86.6
USA,5/15/1940,USA,40.807,13375,34.42,-117.3
USA,5/15/1940,USA,40.807,13375,25.86,-80.3
USA,5/15/1940,USA,40.807,13375,35.74,-81.33
USA,5/15/1940,USA,40.807,13375,40.76,-73.53
USA,5/15/1940,USA,40.807,13375,35.98,-80
USA,5/15/1940,USA,40.807,13375,34.12,-117.19
USA,5/15/1940,USA,40.807,13375,39.55,-104.97
USA,5/15/1940,USA,40.807,13375,45.53,-122.94
USA,5/15/1940,USA,40.807,13375,19.7,-155.09
USA,5/15/1940,USA,40.807,13375,42.24,-70.89
USA,5/15/1940,USA,40.807,13375,40.74,-74.03
USA,5/15/1940,USA,40.807,13375,42.06,-88.14
USA,5/15/1940,USA,40.807,13375,26.03,-80.16
USA,5/15/1940,USA,40.807,13375,42.21,-72.64
USA,5/15/1940,USA,40.807,13375,21.32,-157.8
USA,5/15/1940,USA,40.807,13375,33.38,-86.82
USA,5/15/1940,USA,40.807,13375,29.77,-95.39
USA,5/15/1940,USA,40.807,13375,35.41,-80.86
USA,5/15/1940,USA,40.807,13375,38.41,-82.43
USA,5/15/1940,USA,40.807,13375,33.69,-118.01
USA,5/15/1940,USA,40.807,13375,33.98,-118.22
USA,5/15/1940,USA,40.807,13375,34.71,-86.63
USA,5/15/1940,USA,40.807,13375,38.07,-97.91
USA,5/15/1940,USA,40.807,13375,43.49,-112.03
USA,5/15/1940,USA,40.807,13375,39.09,-94.35
USA,5/15/1940,USA,40.807,13375,39.78,-86.15
USA,5/15/1940,USA,40.807,13375,33.72,-116.23
USA,5/15/1940,USA,40.807,13375,33.96,-118.34
USA,5/15/1940,USA,40.807,13375,41.66,-91.54
USA,5/15/1940,USA,40.807,13375,43.21,-77.57
USA,5/15/1940,USA,40.807,13375,33.66,-117.8
USA,5/15/1940,USA,40.807,13375,32.86,-96.97
USA,5/15/1940,USA,40.807,13375,40.72,-74.23
USA,5/15/1940,USA,40.807,13375,32.32,-90.21
USA,5/15/1940,USA,40.807,13375,35.63,-88.83
USA,5/15/1940,USA,40.807,13375,34.76,-77.4
USA,5/15/1940,USA,40.807,13375,30.33,-81.66
USA,5/15/1940,USA,40.807,13375,42.68,-89.02
USA,5/15/1940,USA,40.807,13375,40.71,-74.06
USA,5/15/1940,USA,40.807,13375,36.33,-82.37
USA,5/15/1940,USA,40.807,13375,41.53,-88.12
USA,5/15/1940,USA,40.807,13375,35.82,-90.69
USA,5/15/1940,USA,40.807,13375,37.08,-94.5
USA,5/15/1940,USA,40.807,13375,26.92,-80.1
USA,5/15/1940,USA,40.807,13375,42.27,-85.59
USA,5/15/1940,USA,40.807,13375,39.12,-94.73
USA,5/15/1940,USA,40.807,13375,39.12,-94.55
USA,5/15/1940,USA,40.807,13375,32.93,-97.23
USA,5/15/1940,USA,40.807,13375,25.71,-80.41
USA,5/15/1940,USA,40.807,13375,25.67,-80.34
USA,5/15/1940,USA,40.807,13375,29.99,-90.25
USA,5/15/1940,USA,40.807,13375,46.2,-119.17
USA,5/15/1940,USA,40.807,13375,42.58,-87.85
USA,5/15/1940,USA,40.807,13375,47.39,-122.24
USA,5/15/1940,USA,40.807,13375,42.88,-85.59
USA,5/15/1940,USA,40.807,13375,39.7,-84.15
USA,5/15/1940,USA,40.807,13375,31.1,-97.72
USA,5/15/1940,USA,40.807,13375,36.53,-82.56
USA,5/15/1940,USA,40.807,13375,47.68,-122.19
USA,5/15/1940,USA,40.807,13375,28.3,-81.41
USA,5/15/1940,USA,40.807,13375,35.97,-83.95
USA,5/15/1940,USA,40.807,13375,40.48,-86.13
USA,5/15/1940,USA,40.807,13375,43.83,-91.23
USA,5/15/1940,USA,40.807,13375,33.93,-117.95
USA,5/15/1940,USA,40.807,13375,32.77,-117.02
USA,5/15/1940,USA,40.807,13375,33.9,-118.01
USA,5/15/1940,USA,40.807,13375,34.03,-117.95
USA,5/15/1940,USA,40.807,13375,33.67,-116.29
USA,5/15/1940,USA,40.807,13375,30.22,-92.03
USA,5/15/1940,USA,40.807,13375,40.41,-86.87
USA,5/15/1940,USA,40.807,13375,38.42,-121.42
USA,5/15/1940,USA,40.807,13375,33.53,-117.7
USA,5/15/1940,USA,40.807,13375,30.21,-93.2
USA,5/15/1940,USA,40.807,13375,33.67,-117.32
USA,5/15/1940,USA,40.807,13375,33.63,-117.7
USA,5/15/1940,USA,40.807,13375,34.5,-114.31
USA,5/15/1940,USA,40.807,13375,28.07,-82.47
USA,5/15/1940,USA,40.807,13375,28.04,-81.96
USA,5/15/1940,USA,40.807,13375,44.68,-93.24
USA,5/15/1940,USA,40.807,13375,39.7,-105.11
USA,5/15/1940,USA,40.807,13375,40.09,-74.21
USA,5/15/1940,USA,40.807,13375,41.48,-81.8
USA,5/15/1940,USA,40.807,13375,47.16,-122.53
USA,5/15/1940,USA,40.807,13375,33.85,-118.12
USA,5/15/1940,USA,40.807,13375,34.69,-118.18
